x,y,z,diff_x,diff_y,diff_z,d_x,d_y,d_z,d_n,di_x,di_y,di_z,f_m,f_x,f_y,f_z
75,0.000001,75,75,0.000001,75,0,0,0,0,0,0,0
72,0.000001,75,72,0.000001,75,0,0,0,0,0,0,0
69,0.000001,75,69,0.000001,75,0,0,0,0,0,0,0
66,0.000001,75,66,0.000001,75,0,0,0,0,0,0,0
63,0.000001,75,63,0.000001,75,0,0,0,0,0,0,0
60,0.000001,75,60,0.000001,75,0,0,0,0,0,0,0
57,0.000001,75,57,0.000001,75,0,0,0,0,0,0,0
54,0.000001,75,54,0.000001,75,0,0,0,0,0,0,0
51,0.000001,75,51,0.000001,75,0,0,0,0,0,0,0
48,0.000001,75,48,0.000001,75,0,0,0,0,0,0,0
45,0.000001,75,45,0.000001,75,0,0,0,0,0,0,0
42,0.000001,75,42,0.000001,75,0,0,0,0,0,0,0
39,0.000001,75,39,0.000001,75,0,0,0,0,0,0,0
36,0.000001,75,36,0.000001,75,0,0,0,0,0,0,0
33,0.000001,75,33,0.000001,75,0,0,0,0,0,0,0
30,0.000001,75,30,0.000001,75,0,0,0,0,0,0,0
27,0.000001,75,27,0.000001,75,0,0,0,0,0,0,0
24,0.000001,75,24,0.000001,75,0,0,0,0,0,0,0
21,0.000001,75,21,0.000001,75,0,0,0,0,0,0,0
18,0.000001,75,18,0.000001,75,0,0,0,0,0,0,0
15,0.000001,75,15,0.000001,75,0,0,0,0,0,0,0
12,0.000001,75,12,0.000001,75,0,0,0,0,0,0,0
9,0.000001,75,9,0.000001,75,0,0,0,0,0,0,0
6,0.000001,75,6,0.000001,75,0,0,0,0,0,0,0
3,0.000001,75,3,0.000001,75,0,0,0,0,0,0,0
0,0.000001,75,0.000000,0.000001,75,0.00,0,0,0.00,0.00,0,0
-3,0.000001,75,-3,0.000001,75,0,0,0,0,0,0,0
-6,0.000001,75,-6,0.000001,75,0,0,0,0,0,0,0
-9,0.000001,75,-9,0.000001,75,0,0,0,0,0,0,0
-12,0.000001,75,-12,0.000001,75,0,0,0,0,0,0,0
-15,0.000001,75,-15,0.000001,75,0,0,0,0,0,0,0
-18,0.000001,75,-18,0.000001,75,0,0,0,0,0,0,0
-21,0.000001,75,-21,0.000001,75,0,0,0,0,0,0,0
-24,0.000001,75,-24,0.000001,75,0,0,0,0,0,0,0
-27,0.000001,75,-27,0.000001,75,0,0,0,0,0,0,0
-30,0.000001,75,-30,0.000001,75,0,0,0,0,0,0,0
-33,0.000001,75,-33,0.000001,75,0,0,0,0,0,0,0
-36,0.000001,75,-36,0.000001,75,0,0,0,0,0,0,0
-39,0.000001,75,-39,0.000001,75,0,0,0,0,0,0,0
-42,0.000001,75,-42,0.000001,75,0,0,0,0,0,0,0
-45,0.000001,75,-45,0.000001,75,0,0,0,0,0,0,0
-48,0.000001,75,-48,0.000001,75,0,0,0,0,0,0,0
-51,0.000001,75,-51,0.000001,75,0,0,0,0,0,0,0
-54,0.000001,75,-54,0.000001,75,0,0,0,0,0,0,0
-57,0.000001,75,-57,0.000001,75,0,0,0,0,0,0,0
-60,0.000001,75,-60,0.000001,75,0,0,0,0,0,0,0
-63,0.000001,75,-63,0.000001,75,0,0,0,0,0,0,0
-66,0.000001,75,-66,0.000001,75,0,0,0,0,0,0,0
-69,0.000001,75,-69,0.000001,75,0,0,0,0,0,0,0
-72,0.000001,75,-72,0.000001,75,0,0,0,0,0,0,0
-75,0.000001,75,-75,0.000001,75,0,0,0,0,0,0,0
75,0.000001,72,75,0.000001,72,0,0,0,0,0,0,0
72.00,-0.000317,72.00,72.00,-0.000283,72.00,0,0.00,0,0.00,0,0.00,0
69.00,-0.000282,72.00,69.00,-0.000157,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
